1576776590,0
1576776591,0
1576776592,0
1576776593,0
1576776594,0
1576776595,0
1576776596,0
1576776597,8797298
1576776598,11927924
1576776599,11920536
1576776600,11920684
1576776601,11927776
1576776602,11924732
1576776603,11926513
1576776604,11927924
1576776605,11926476
1576776606,11926439
1576776607,11926476
1576776608,11927813
1576776609,11917788
1576776610,11917566
1576776611,11926069
1576776612,11927998
1576776613,11927924
1576776614,11924991
1576776615,11932305
1576776616,11923543
1576776617,11927998
1576776618,11925065
1576776619,11927924
1576776620,11928558
1576776621,11923617
1576776622,11932305
1576776623,11925847
1576776624,11927961
1576776625,11927887
1576776626,11926439
1576776627,11930857
1576776628,11927739
1576776629,11927776
1576776630,11926402
1576776631,11930820
1576776632,11927961
1576776633,11926402
1576776634,11930783
1576776635,11926439
1576776636,11929335
1576776637,11916155
1576776638,11925028
1576776639,11926439
1576776640,11926402
1576776641,11920610
1576776642,11928854
1576776643,11927887
1576776644,11930783
1576776645,11927813
1576776646,11930857
1576776647,11917603
1576776648,11924362
1576776649,11929409
1576776650,11930820
1576776651,11925028
1576776652,11929446
1576776653,11925028
1576776654,11926439
1576776655,11917640
1576776656,11923469
1576776657,11926254
1576776658,11926439
1576776659,11924991
1576776660,11930820
1576776661,11926439
1576776662,11923067
1576776663,11921804
1576776664,11926333
1576776665,11926180
1576776666,11926365
1576776667,11930857
1576776668,11919093
1576776669,11917719
1576776670,11720468
1576776671,11860132
1576776672,11927517
1576776673,11927628
1576776674,11627717
1576776675,11929409
1576776676,11927998
1576776677,11927887
1576776678,11927961
1576776679,11917714
1576776680,11922169
1576776681,11926476
1576776682,11925028
1576776683,11920610
1576776684,11652269
1576776685,11923802
1576776686,11928146
1576776687,11926402
1576776688,11928072
1576776689,11926624
1576776690,11923955
1576776691,11923654
1576776692,11916266
1576776693,11924510
1576776694,11927998
1576776695,11927887
1576776696,11925102
1576776697,11901934
1576776698,11915282
1576776699,11923654
1576776700,11920869
1576776701,11921128
1576776702,11907144
1576776703,11923765
1576776704,11925139
1576776705,11927887
1576776706,11932564
1576776707,11926106
1576776708,11929520
1576776709,11929520
1576776710,11928072
1576776711,11928410
1576776712,11927998
1576776713,11927517
1576776714,11927924
1576776715,11928035
1576776716,11929520
1576776717,11926661
1576776718,11929446
1576776719,11925176
1576776720,11930931
1576776721,11920573
1576776722,11917788
1576776723,11925176
1576776724,11926328
1576776725,11926032
1576776726,11923543
1576776727,11926444
1576776728,11924922
1576776729,11926407
1576776730,11922100
1576776731,11926296
1576776732,11926661
1576776733,11922031
1576776734,11928109
1576776735,11926661
1576776736,11929261
